confounder,confoundedParent,confoundedChild,BootscoreConfounderP,BootscoreConfounderC,BootscoreConfounded,overalScore,method,sourceLevel,deconfoundedWith
s__ruminococcus_bromii,m__hmdb00619,s__odoribacter_splanchnicus,0.36,0.12,0.16,0.006912,DBN_,TM,TTM
s__clostridium_clostridioforme,m__hmdb00089,m__hmdb00630,1,1,1,1,DBN_,GM,TGM
s__eubacterium_ventriosum,m__hmdb00043,g__acetyl-coa c-acetyltransferase,1,0.99,1,0.99,DBN_,GM,TGM
s__faecalibacterium_prausnitzii,g__phosphopyruvate hydratase,g__superoxide dismutase,1,1,0.99,0.99,DBN_,GM,TGM
s__clostridium_clostridioforme,g__uridine kinase,m__hmdb00089,1,1,0.98,0.98,DBN_,GM,TGM
s__clostridium_clostridioforme,m__hmdb00030,g__dephospho-coa kinase,0.95,1,0.99,0.9405,DBN_,GM,TGM
s__bacteroides_uniformis,g__phosphopyruvate hydratase,g__dihydrolipoyl dehydrogenase,0.9,1,1,0.9,DBN_,GM,TGM
s__clostridium_clostridioforme,g__uridine kinase,m__hmdb00030,1,0.95,0.93,0.8835,DBN_,GM,TGM
s__eubacterium_ventriosum,m__hmdb00043,g__acetyl-coa c-acetyltransferase,1,0.99,0.88,0.8712,DBN_,GM,TGM
s__faecalibacterium_prausnitzii,g__3-hydroxybutyryl-coa dehydrogenase,g__fructose-bisphosphate aldolase,1,1,0.79,0.79,DBN_,GM,TGM
s__bacteroides_stercoris,g__3-methyl-2-oxobutanoate hydroxymethyltransferase,g__transaldolase,0.61,1,1,0.61,DBN_,GM,TGM
s__clostridium_clostridioforme,m__hmdb00030,g__uridine kinase,0.95,1,0.61,0.5795,DBN_,GM,TGM
s__alistipes_shahii,g__dna-directed rna polymerase,g__methionyl aminopeptidase,0.67,0.96,0.88,0.566016,DBN_,GM,TGM
s__alistipes_shahii,g__dna-directed rna polymerase,g__methionyl aminopeptidase,0.67,0.96,0.87,0.559584,DBN_,GM,TGM
s__bacteroides_finegoldii,m__hmdb00619,m__hmdb00764,0.94,0.77,0.65,0.47047,DBN_,GM,TGM
s__clostridium_bolteae,g__glutamate decarboxylase,g__pyruvate carboxylase,0.57,0.78,0.99,0.440154,DBN_,GM,TGM
s__bacteroides_stercoris,g__uridine kinase,g__3-methyl-2-oxobutanoate hydroxymethyltransferase,1,0.61,0.68,0.4148,DBN_,GM,TGM
s__odoribacter_splanchnicus,g__glutamate decarboxylase,g__peptidylprolyl isomerase,0.36,1,1,0.36,DBN_,GM,TGM
s__bacteroides_uniformis,g__shikimate kinase,g__3-hydroxybutyryl-coa dehydrogenase,0.84,0.38,1,0.3192,DBN_,GM,TGM
s__akkermansia_muciniphila,g__dna-directed rna polymerase,g__methionyl aminopeptidase,0.36,1,0.88,0.3168,DBN_,GM,TGM
s__akkermansia_muciniphila,g__dna-directed rna polymerase,g__methionyl aminopeptidase,0.36,1,0.87,0.3132,DBN_,GM,TGM
s__bacteroides_uniformis,g__shikimate kinase,g__3-hydroxybutyryl-coa dehydrogenase,0.84,0.38,0.92,0.293664,DBN_,GM,TGM
s__bacteroides_fragilis,g__aspartate ammonia-lyase,g__peroxiredoxin,1,0.92,0.31,0.2852,DBN_,GM,TGM
s__bacteroides_ovatus,m__hmdb00239,g__dna helicase,0.28,1,1,0.28,DBN_,GM,TGM
s__bacteroides_finegoldii,m__hmdb00619,m__hmdb00764,0.94,0.77,0.35,0.25333,DBN_,GM,TGM
s__clostridium_clostridioforme,m__hmdb00089,g__dephospho-coa kinase,1,1,0.25,0.25,DBN_,GM,TGM
s__clostridium_clostridioforme,m__hmdb00030,g__2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,0.95,0.64,0.4,0.2432,DBN_,GM,TGM
s__streptococcus_parasanguinis,g__rna helicase,g__fructose-bisphosphate aldolase,1,1,0.24,0.24,DBN_,GM,TGM
s__odoribacter_splanchnicus,g__aldose 1-epimerase,g__triose-phosphate isomerase,1,0.26,0.72,0.1872,DBN_,GM,TGM
s__odoribacter_splanchnicus,g__peptidylprolyl isomerase,g__3-methyl-2-oxobutanoate hydroxymethyltransferase,1,1,0.18,0.18,DBN_,GM,TGM
s__odoribacter_splanchnicus,g__glutamate decarboxylase,g__rna helicase,0.36,0.41,1,0.1476,DBN_,GM,TGM
s__bacteroides_fragilis,g__glucose-1-phosphate adenylyltransferase,g__peroxiredoxin,1,0.92,0.15,0.138,DBN_,GM,TGM
s__odoribacter_splanchnicus,g__glutamate decarboxylase,g__triose-phosphate isomerase,0.36,0.26,0.9,0.08424,DBN_,GM,TGM
s__eubacterium_siraeum,m__hmdb00089,m__hmdb00630,0.12,0.58,1,0.0696,DBN_,GM,TGM
s__eubacterium_rectale,m__hmdb00020,g__histidine kinase,0.49,0.13,0.99,0.063063,DBN_,GM,TGM
s__odoribacter_splanchnicus,g__3-methyl-2-oxobutanoate hydroxymethyltransferase,g__triose-phosphate isomerase,1,0.26,0.21,0.0546,DBN_,GM,TGM
s__odoribacter_splanchnicus,g__glutamate decarboxylase,g__aldose 1-epimerase,0.36,1,0.1,0.036,DBN_,GM,TGM
s__eubacterium_siraeum,g__3-hydroxybutyryl-coa dehydrogenase,m__hmdb00619,0.6,0.22,0.22,0.02904,DBN_,GM,TGM
s__eubacterium_rectale,g__phosphoglycerate kinase,g__histidine kinase,0.17,0.13,0.92,0.020332,DBN_,GM,TGM
s__akkermansia_muciniphila,g__pyruvate carboxylase,g__glutamate dehydrogenase,0.22,0.15,0.6,0.0198,DBN_,GM,TGM
s__eubacterium_rectale,m__hmdb00020,g__phosphoglycerate kinase,0.49,0.17,0.21,0.017493,DBN_,GM,TGM
s__clostridium_citroniae,s__bacteroides_ovatus,g__dna helicase,1,1,1,1,DBN_,TG,TTG
s__clostridium_citroniae,g__dna helicase,s__bacteroides_ovatus,1,1,1,1,DBN_,TG,TTG
s__c2likevirus_unclassified,s__escherichia_coli,s__faecalibacterium_prausnitzii,0.99,1,0.99,0.9801,DBN_,TG,TTG
s__bacteroides_massiliensis,s__bacteroides_faecis,s__bacteroides_stercoris,1,0.95,0.99,0.9405,DBN_,TG,TTG
s__ruminococcus_obeum,g__5-formyltetrahydrofolate cyclo-ligase,s__clostridium_bolteae,0.74,1,1,0.74,DBN_,TG,TTG
s__sutterella_wadsworthensis,g__acetyl-coa c-acetyltransferase,s__bacteroides_thetaiotaomicron,1,1,0.65,0.65,DBN_,TG,TTG
s__anaerotruncus_colihominis,s__bacteroides_caccae,s__ruminococcus_torques,0.62,1,1,0.62,DBN_,TG,TTG
s__anaerotruncus_colihominis,s__bacteroides_caccae,g__shikimate kinase,0.62,0.78,1,0.4836,DBN_,TG,TTG
s__parabacteroides_distasonis,g__beta-lactamase,s__eubacterium_siraeum,0.48,0.95,1,0.456,DBN_,TG,TTG
s__veillonella_unclassified,s__bifidobacterium_longum,s__haemophilus_parainfluenzae,1,1,0.36,0.36,DBN_,TG,TTG
s__sutterella_wadsworthensis,g__glucose-1-phosphate adenylyltransferase,s__bacteroides_thetaiotaomicron,1,1,0.11,0.11,DBN_,TG,TTG
s__parabacteroides_merdae,s__bacteroides_uniformis,s__clostridium_clostridioforme,0.98,0.19,0.51,0.094962,DBN_,TG,TTG
s__oscillibacter_unclassified,s__eubacterium_siraeum,g__phosphoglycerate kinase,0.14,0.17,0.69,0.016422,DBN_,TG,TTG
s__subdoligranulum_unclassified,s__alistipes_shahii,g__5-formyltetrahydrofolate cyclo-ligase,0.39,0.24,0.17,0.015912,DBN_,TG,TTG
s__barnesiella_intestinihominis,s__alistipes_shahii,g__histidine kinase,0.16,0.11,0.51,0.008976,DBN_,TG,TTG
