T,Tx,G,M,Ti,T->(G|Tx)_Bs,(T|G)->M_Bs,(M|G|Tx)->Ti_Bs,T->Ti_Bs,overallScore,ChainInTTxTi,ChainInTGMTi,ChainInTGTi,ChainInTMTi
s__haemophilus_parainfluenzae,,g__histidine_kinase,,s__klebsiella_pneumoniae,0.2,,0.1,0.2,0.004,FALSE,FALSE,TRUE,FALSE
s__roseburia_intestinalis,,g__dihydrolipoyl_dehydrogenase,,s__roseburia_inulinivorans,0.1,,0.1,0.3,0.003,FALSE,FALSE,TRUE,FALSE
s__faecalibacterium_prausnitzii,,g__dihydrolipoyl_dehydrogenase,,s__faecalibacterium_prausnitzii,0.1,,0.1,0.3,0.003,FALSE,FALSE,TRUE,FALSE
s__bacteroides_cellulosilyticus,,g__fructosebisphosphate_aldolase,,s__bacteroides_cellulosilyticus,0.1,,0.1,0.3,0.003,FALSE,FALSE,TRUE,FALSE
s__eubacterium_rectale,,g__acetylcoa_cacetyltransferase,,s__eubacterium_rectale,0.1,,0.1,0.3,0.003,FALSE,FALSE,TRUE,FALSE
s__bacteroides_fragilis,,g__acetylcoa_cacetyltransferase,,s__haemophilus_parainfluenzae,0.3,,0.1,0.1,0.003,FALSE,FALSE,TRUE,FALSE
s__klebsiella_pneumoniae,,g__dihydrolipoyl_dehydrogenase,,s__klebsiella_pneumoniae,0.1,,0.1,0.3,0.003,FALSE,FALSE,TRUE,FALSE
s__roseburia_intestinalis,,g__2cmethylderythritol_4phosphate_cytidylyltransferase,,s__streptococcus_parasanguinis,0.1,,0.1,0.2,0.002,FALSE,FALSE,TRUE,FALSE
s__streptococcus_parasanguinis,,g__peroxiredoxin,,s__roseburia_intestinalis,0.1,,0.1,0.2,0.002,FALSE,FALSE,TRUE,FALSE
s__eubacterium_siraeum,,g__5formyltetrahydrofolate_cycloligase,,s__eubacterium_siraeum,0.1,,0.1,0.2,0.002,FALSE,FALSE,TRUE,FALSE
s__eubacterium_siraeum,,g__aspartate_ammonialyase,,s__roseburia_intestinalis,0.1,,0.2,0.1,0.002,FALSE,FALSE,TRUE,FALSE
s__roseburia_intestinalis,,g__histidine_kinase,,s__clostridium_bolteae,0.1,,0.1,0.1,0.001,FALSE,FALSE,TRUE,FALSE
s__faecalibacterium_prausnitzii,,g__dihydrolipoyl_dehydrogenase,,s__roseburia_inulinivorans,0.1,,0.1,0.1,0.001,FALSE,FALSE,TRUE,FALSE
s__roseburia_inulinivorans,,g__dihydrolipoyl_dehydrogenase,,s__faecalibacterium_prausnitzii,0.1,,0.1,0.1,0.001,FALSE,FALSE,TRUE,FALSE
s__roseburia_intestinalis,,g__dihydrolipoyl_dehydrogenase,,s__roseburia_intestinalis,0.1,,0.1,0.1,0.001,FALSE,FALSE,TRUE,FALSE
s__roseburia_intestinalis,,g__peroxiredoxin,,s__eubacterium_siraeum,0.1,,0.1,0.1,0.001,FALSE,FALSE,TRUE,FALSE
s__eubacterium_ventriosum,,,m__hmdb00043,s__eubacterium_ventriosum,,0.2222,0.3333,0.9,0.066653334,FALSE,FALSE,FALSE,TRUE
s__bacteroides_stercoris,,,m__hmdb00020,s__bacteroides_stercoris,,0.3333,0.3333,0.5,0.055544445,FALSE,FALSE,FALSE,TRUE
s__escherichia_coli,,,m__hmdb01257,s__escherichia_coli,,0.2222,0.1111,0.8,0.019749136,FALSE,FALSE,FALSE,TRUE
s__klebsiella_pneumoniae,,,m__hmdb00014,s__klebsiella_pneumoniae,,0.2222,0.2222,0.3,0.014811852,FALSE,FALSE,FALSE,TRUE
s__clostridium_clostridioforme,,,m__hmdb00089,s__clostridium_clostridioforme,,0.1111,0.1111,1,0.01234321,FALSE,FALSE,FALSE,TRUE
s__bacteroides_ovatus,,,m__hmdb00239,s__bacteroides_ovatus,,0.2222,0.1111,0.5,0.01234321,FALSE,FALSE,FALSE,TRUE
s__bacteroides_finegoldii,,,m__hmdb00195,s__bacteroides_finegoldii,,0.1111,0.1111,0.9,0.011108889,FALSE,FALSE,FALSE,TRUE
s__akkermansia_muciniphila,,,m__hmdb00296,s__akkermansia_muciniphila,,0.1111,0.1111,0.6,0.007405926,FALSE,FALSE,FALSE,TRUE
s__bacteroides_xylanisolvens,,,m__hmdb00251,s__bacteroides_ovatus,,0.3333,0.1111,0.2,0.007405926,FALSE,FALSE,FALSE,TRUE
s__bacteroides_ovatus,,,m__hmdb00251,s__bacteroides_xylanisolvens,,0.1111,0.3333,0.2,0.007405926,FALSE,FALSE,FALSE,TRUE
s__faecalibacterium_prausnitzii,,,m__hmdb00089,s__streptococcus_parasanguinis,,0.1111,0.1111,0.5,0.006171605,FALSE,FALSE,FALSE,TRUE
s__streptococcus_parasanguinis,,,m__hmdb00089,s__streptococcus_parasanguinis,,0.1111,0.1111,0.5,0.006171605,FALSE,FALSE,FALSE,TRUE
s__bacteroides_ovatus,,,m__hmdb00251,s__bacteroides_xylanisolvens,,0.1111,0.3333,0.1,0.003702963,FALSE,FALSE,FALSE,TRUE
s__bacteroides_xylanisolvens,,,m__hmdb00251,s__bacteroides_ovatus,,0.3333,0.1111,0.1,0.003702963,FALSE,FALSE,FALSE,TRUE
s__bacteroides_thetaiotaomicron,,,m__hmdb00014,s__bacteroides_thetaiotaomicron,,0.1111,0.1111,0.3,0.003702963,FALSE,FALSE,FALSE,TRUE
s__bacteroides_thetaiotaomicron,,,m__hmdb00014,s__alistipes_shahii,,0.1111,0.1111,0.2,0.002468642,FALSE,FALSE,FALSE,TRUE
s__streptococcus_parasanguinis,,,m__hmdb00014,s__klebsiella_pneumoniae,,0.1111,0.2222,0.1,0.002468642,FALSE,FALSE,FALSE,TRUE
s__klebsiella_pneumoniae,,,m__hmdb00014,s__streptococcus_parasanguinis,,0.2222,0.1111,0.1,0.002468642,FALSE,FALSE,FALSE,TRUE
s__roseburia_intestinalis,,,m__hmdb00089,s__streptococcus_parasanguinis,,0.1111,0.1111,0.2,0.002468642,FALSE,FALSE,FALSE,TRUE
s__alistipes_shahii,,,m__hmdb00014,s__bacteroides_thetaiotaomicron,,0.1111,0.1111,0.2,0.002468642,FALSE,FALSE,FALSE,TRUE
s__bacteroides_xylanisolvens,,,m__hmdb00296,s__bacteroides_xylanisolvens,,0.1111,0.2222,0.1,0.002468642,FALSE,FALSE,FALSE,TRUE
s__eubacterium_siraeum,,,m__hmdb00296,s__eubacterium_siraeum,,0.1111,0.1111,0.2,0.002468642,FALSE,FALSE,FALSE,TRUE
s__alistipes_shahii,,,m__hmdb00014,s__bacteroides_thetaiotaomicron,,0.1111,0.1111,0.1,0.001234321,FALSE,FALSE,FALSE,TRUE
s__bacteroides_thetaiotaomicron,,,m__hmdb00014,s__alistipes_shahii,,0.1111,0.1111,0.1,0.001234321,FALSE,FALSE,FALSE,TRUE
s__faecalibacterium_prausnitzii,,,m__hmdb00089,s__streptococcus_parasanguinis,,0.1111,0.1111,0.1,0.001234321,FALSE,FALSE,FALSE,TRUE
s__bifidobacterium_longum,,,m__hmdb00296,s__bifidobacterium_longum,,0.1111,0.1111,0.1,0.001234321,FALSE,FALSE,FALSE,TRUE
s__streptococcus_parasanguinis,s__faecalibacterium_prausnitzii,,,s__streptococcus_parasanguinis,0.5556,,0.5556,0.5,0.15434568,TRUE,FALSE,FALSE,FALSE
s__faecalibacterium_prausnitzii,s__streptococcus_parasanguinis,,,s__streptococcus_parasanguinis,0.5556,,0.3333,0.5,0.09259074,TRUE,FALSE,FALSE,FALSE
s__streptococcus_parasanguinis,s__streptococcus_parasanguinis,,,s__faecalibacterium_prausnitzii,0.3333,,0.5556,0.5,0.09259074,TRUE,FALSE,FALSE,FALSE
s__clostridium_clostridioforme,s__alistipes_shahii,,,s__clostridium_clostridioforme,0.2222,,0.2222,1,0.04937284,TRUE,FALSE,FALSE,FALSE
s__roseburia_inulinivorans,s__roseburia_inulinivorans,,,s__faecalibacterium_prausnitzii,0.6667,,0.1111,0.4,0.029628148,TRUE,FALSE,FALSE,FALSE
s__faecalibacterium_prausnitzii,s__roseburia_inulinivorans,,,s__roseburia_inulinivorans,0.1111,,0.6667,0.4,0.029628148,TRUE,FALSE,FALSE,FALSE
s__roseburia_inulinivorans,s__roseburia_inulinivorans,,,s__roseburia_intestinalis,0.6667,,0.1111,0.3,0.022221111,TRUE,FALSE,FALSE,FALSE
s__roseburia_intestinalis,s__roseburia_inulinivorans,,,s__roseburia_inulinivorans,0.1111,,0.6667,0.3,0.022221111,TRUE,FALSE,FALSE,FALSE
s__escherichia_coli,s__anaerostipes_hadrus,,,s__escherichia_coli,0.1111,,0.2222,0.8,0.019749136,TRUE,FALSE,FALSE,FALSE
s__faecalibacterium_prausnitzii,s__streptococcus_parasanguinis,,,s__streptococcus_parasanguinis,0.5556,,0.3333,0.1,0.018518148,TRUE,FALSE,FALSE,FALSE
s__escherichia_coli,s__escherichia_coli,,,s__ruminococcus_torques,0.7778,,0.2222,0.1,0.017282716,TRUE,FALSE,FALSE,FALSE
s__akkermansia_muciniphila,s__akkermansia_muciniphila,,,s__bacteroides_caccae,0.3333,,0.1111,0.4,0.014811852,TRUE,FALSE,FALSE,FALSE
s__eubacterium_rectale,s__peptostreptococcaceae_noname_unclassified,,,s__eubacterium_rectale,0.2222,,0.2222,0.3,0.014811852,TRUE,FALSE,FALSE,FALSE
s__klebsiella_pneumoniae,s__klebsiella_pneumoniae,,,s__streptococcus_parasanguinis,0.5556,,0.2222,0.1,0.012345432,TRUE,FALSE,FALSE,FALSE
s__haemophilus_parainfluenzae,s__klebsiella_pneumoniae,,,s__klebsiella_pneumoniae,0.1111,,0.5556,0.2,0.012345432,TRUE,FALSE,FALSE,FALSE
s__klebsiella_pneumoniae,s__klebsiella_pneumoniae,,,s__haemophilus_parainfluenzae,0.5556,,0.1111,0.2,0.012345432,TRUE,FALSE,FALSE,FALSE
s__bacteroides_faecis,s__clostridium_asparagiforme,,,s__bacteroides_faecis,0.1111,,0.1111,1,0.01234321,TRUE,FALSE,FALSE,FALSE
s__bacteroides_finegoldii,s__eubacterium_eligens,,,s__bacteroides_finegoldii,0.1111,,0.1111,0.9,0.011108889,TRUE,FALSE,FALSE,FALSE
s__roseburia_inulinivorans,s__faecalibacterium_prausnitzii,,,s__roseburia_inulinivorans,0.1111,,0.1111,0.9,0.011108889,TRUE,FALSE,FALSE,FALSE
s__bacteroides_xylanisolvens,s__bacteroides_ovatus,,,s__bacteroides_xylanisolvens,0.3333,,0.3333,0.1,0.011108889,TRUE,FALSE,FALSE,FALSE
s__bifidobacterium_longum,s__dialister_invisus,,,s__bifidobacterium_longum,0.3333,,0.3333,0.1,0.011108889,TRUE,FALSE,FALSE,FALSE
s__haemophilus_parainfluenzae,s__escherichia_coli,,,s__escherichia_coli,0.1111,,0.7778,0.1,0.008641358,TRUE,FALSE,FALSE,FALSE
s__escherichia_coli,s__escherichia_coli,,,s__haemophilus_parainfluenzae,0.7778,,0.1111,0.1,0.008641358,TRUE,FALSE,FALSE,FALSE
s__faecalibacterium_prausnitzii,s__roseburia_inulinivorans,,,s__roseburia_inulinivorans,0.1111,,0.6667,0.1,0.007407037,TRUE,FALSE,FALSE,FALSE
s__roseburia_inulinivorans,s__roseburia_inulinivorans,,,s__faecalibacterium_prausnitzii,0.6667,,0.1111,0.1,0.007407037,TRUE,FALSE,FALSE,FALSE
s__akkermansia_muciniphila,s__bacteroides_caccae,,,s__akkermansia_muciniphila,0.1111,,0.1111,0.6,0.007405926,TRUE,FALSE,FALSE,FALSE
s__bacteroides_fragilis,s__peptostreptococcaceae_noname_unclassified,,,s__bacteroides_fragilis,0.1111,,0.1111,0.6,0.007405926,TRUE,FALSE,FALSE,FALSE
s__streptococcus_parasanguinis,s__streptococcus_parasanguinis,,,s__klebsiella_pneumoniae,0.3333,,0.2222,0.1,0.007405926,TRUE,FALSE,FALSE,FALSE
s__eubacterium_rectale,s__eubacterium_rectale,,,s__eubacterium_siraeum,0.3333,,0.2222,0.1,0.007405926,TRUE,FALSE,FALSE,FALSE
s__eubacterium_siraeum,s__eubacterium_rectale,,,s__eubacterium_rectale,0.2222,,0.3333,0.1,0.007405926,TRUE,FALSE,FALSE,FALSE
s__bacteroides_ovatus,s__clostridium_hathewayi,,,s__bacteroides_ovatus,0.1111,,0.1111,0.5,0.006171605,TRUE,FALSE,FALSE,FALSE
s__bacteroides_stercoris,s__parabacteroides_merdae,,,s__bacteroides_stercoris,0.1111,,0.1111,0.5,0.006171605,TRUE,FALSE,FALSE,FALSE
s__bacteroides_uniformis,s__eubacterium_hallii,,,s__bacteroides_uniformis,0.1111,,0.1111,0.5,0.006171605,TRUE,FALSE,FALSE,FALSE
s__odoribacter_splanchnicus,s__ruminococcus_lactaris,,,s__odoribacter_splanchnicus,0.1111,,0.1111,0.5,0.006171605,TRUE,FALSE,FALSE,FALSE
s__bacteroides_ovatus,s__clostridium_hathewayi,,,s__bacteroides_caccae,0.1111,,0.2222,0.2,0.004937284,TRUE,FALSE,FALSE,FALSE
s__roseburia_intestinalis,s__bacteroides_thetaiotaomicron,,,s__haemophilus_parainfluenzae,0.1111,,0.1111,0.3,0.003702963,TRUE,FALSE,FALSE,FALSE
s__faecalibacterium_prausnitzii,s__c2likevirus_unclassified,,,s__faecalibacterium_prausnitzii,0.1111,,0.1111,0.3,0.003702963,TRUE,FALSE,FALSE,FALSE
s__bacteroides_cellulosilyticus,s__eubacterium_eligens,,,s__bacteroides_cellulosilyticus,0.1111,,0.1111,0.3,0.003702963,TRUE,FALSE,FALSE,FALSE
s__bacteroides_thetaiotaomicron,s__c2likevirus_unclassified,,,s__bacteroides_thetaiotaomicron,0.1111,,0.1111,0.3,0.003702963,TRUE,FALSE,FALSE,FALSE
s__eubacterium_rectale,s__clostridiales_bacterium_1_7_47faa,,,s__ruminococcus_torques,0.1111,,0.1111,0.3,0.003702963,TRUE,FALSE,FALSE,FALSE
s__bacteroides_thetaiotaomicron,s__bacteroides_dorei,,,s__alistipes_shahii,0.1111,,0.1111,0.2,0.002468642,TRUE,FALSE,FALSE,FALSE
s__bacteroides_caccae,s__oscillibacter_unclassified,,,s__bacteroides_uniformis,0.1111,,0.1111,0.2,0.002468642,TRUE,FALSE,FALSE,FALSE
s__bacteroides_ovatus,s__clostridium_hathewayi,,,s__bacteroides_caccae,0.1111,,0.2222,0.1,0.002468642,TRUE,FALSE,FALSE,FALSE
s__bacteroides_faecis,s__bacteroides_faecis,,,s__bacteroides_caccae,0.2222,,0.1111,0.1,0.002468642,TRUE,FALSE,FALSE,FALSE
s__roseburia_intestinalis,s__bacteroides_thetaiotaomicron,,,s__haemophilus_parainfluenzae,0.1111,,0.1111,0.2,0.002468642,TRUE,FALSE,FALSE,FALSE
s__bacteroides_fragilis,s__veillonella_dispar,,,s__haemophilus_parainfluenzae,0.1111,,0.1111,0.2,0.002468642,TRUE,FALSE,FALSE,FALSE
s__haemophilus_parainfluenzae,s__veillonella_dispar,,,s__bacteroides_fragilis,0.1111,,0.1111,0.2,0.002468642,TRUE,FALSE,FALSE,FALSE
s__bacteroides_ovatus,s__clostridium_asparagiforme,,,s__clostridium_bolteae,0.1111,,0.1111,0.2,0.002468642,TRUE,FALSE,FALSE,FALSE
s__bacteroides_caccae,s__clostridium_hathewayi,,,s__bacteroides_ovatus,0.2222,,0.1111,0.1,0.002468642,TRUE,FALSE,FALSE,FALSE
s__bacteroides_caccae,s__akkermansia_muciniphila,,,s__bacteroides_caccae,0.1111,,0.1111,0.2,0.002468642,TRUE,FALSE,FALSE,FALSE
s__bacteroides_cellulosilyticus,s__eubacterium_siraeum,,,s__eubacterium_siraeum,0.1111,,0.1111,0.2,0.002468642,TRUE,FALSE,FALSE,FALSE
s__eubacterium_siraeum,s__bacteroides_cellulosilyticus,,,s__bacteroides_cellulosilyticus,0.1111,,0.1111,0.2,0.002468642,TRUE,FALSE,FALSE,FALSE
s__alistipes_shahii,s__bacteroides_dorei,,,s__bacteroides_thetaiotaomicron,0.1111,,0.1111,0.2,0.002468642,TRUE,FALSE,FALSE,FALSE
s__eubacterium_siraeum,s__alistipes_putredinis,,,s__eubacterium_siraeum,0.1111,,0.1111,0.2,0.002468642,TRUE,FALSE,FALSE,FALSE
s__alistipes_shahii,s__bacteroides_dorei,,,s__bacteroides_thetaiotaomicron,0.1111,,0.1111,0.1,0.001234321,TRUE,FALSE,FALSE,FALSE
s__bacteroides_thetaiotaomicron,s__bacteroides_dorei,,,s__alistipes_shahii,0.1111,,0.1111,0.1,0.001234321,TRUE,FALSE,FALSE,FALSE
s__bacteroides_cellulosilyticus,s__eubacterium_siraeum,,,s__eubacterium_siraeum,0.1111,,0.1111,0.1,0.001234321,TRUE,FALSE,FALSE,FALSE
s__eubacterium_siraeum,s__bacteroides_cellulosilyticus,,,s__bacteroides_cellulosilyticus,0.1111,,0.1111,0.1,0.001234321,TRUE,FALSE,FALSE,FALSE
s__bacteroides_caccae,s__oscillibacter_unclassified,,,s__bacteroides_uniformis,0.1111,,0.1111,0.1,0.001234321,TRUE,FALSE,FALSE,FALSE
s__haemophilus_parainfluenzae,s__ruminococcus_gnavus,,,s__bacteroides_thetaiotaomicron,0.1111,,0.1111,0.1,0.001234321,TRUE,FALSE,FALSE,FALSE
s__haemophilus_parainfluenzae,s__veillonella_dispar,,,s__bacteroides_fragilis,0.1111,,0.1111,0.1,0.001234321,TRUE,FALSE,FALSE,FALSE
s__bacteroides_fragilis,s__veillonella_dispar,,,s__haemophilus_parainfluenzae,0.1111,,0.1111,0.1,0.001234321,TRUE,FALSE,FALSE,FALSE
s__roseburia_intestinalis,s__bacteroides_thetaiotaomicron,,,s__roseburia_intestinalis,0.1111,,0.1111,0.1,0.001234321,TRUE,FALSE,FALSE,FALSE
s__eubacterium_siraeum,s__eubacterium_siraeum,,,s__roseburia_intestinalis,0.1111,,0.1111,0.1,0.001234321,TRUE,FALSE,FALSE,FALSE
s__roseburia_intestinalis,s__eubacterium_siraeum,,,s__eubacterium_siraeum,0.1111,,0.1111,0.1,0.001234321,TRUE,FALSE,FALSE,FALSE
s__eubacterium_rectale,s__clostridiales_bacterium_1_7_47faa,,,s__ruminococcus_torques,0.1111,,0.1111,0.1,0.001234321,TRUE,FALSE,FALSE,FALSE
