T,Tx,G,M,Ti,T->(G|Tx)_Bs,(T|G)->M_Bs,(M|G|Tx)->Ti_Bs,T->Ti_Bs,overallScore,ChainInTTxTi,ChainInTGMTi,ChainInTGTi,ChainInTMTi
s__bacteroides_finegoldii,,g__dephospho-coa kinase,,s__clostridium_clostridioforme,1,,0.18,0.18,0.0324,FALSE,FALSE,TRUE,FALSE
s__bacteroides_finegoldii,,,m__hmdb00619,s__streptococcus_parasanguinis,,0.89,0.98,0.49,0.427378,FALSE,FALSE,FALSE,TRUE
s__bacteroides_finegoldii,,,m__hmdb00619,s__bacteroides_finegoldii,,0.89,0.29,1,0.2581,FALSE,FALSE,FALSE,TRUE
s__escherichia_coli,,,m__hmdb02322,s__bacteroides_fragilis,,0.99,0.55,0.31,0.168795,FALSE,FALSE,FALSE,TRUE
s__bacteroides_uniformis,,,m__hmdb00014,s__alistipes_shahii,,1,0.98,0.14,0.1372,FALSE,FALSE,FALSE,TRUE
s__bacteroides_finegoldii,,,m__hmdb00619,s__streptococcus_parasanguinis,,0.89,0.98,0.1,0.08722,FALSE,FALSE,FALSE,TRUE
s__streptococcus_parasanguinis,,,m__hmdb00296,s__streptococcus_parasanguinis,,0.27,0.21,1,0.0567,FALSE,FALSE,FALSE,TRUE
s__bacteroides_thetaiotaomicron,,,m__hmdb00043,s__eubacterium_rectale,,1,0.1,0.52,0.052,FALSE,FALSE,FALSE,TRUE
s__escherichia_coli,,,m__hmdb00296,s__streptococcus_parasanguinis,,0.67,0.21,0.36,0.050652,FALSE,FALSE,FALSE,TRUE
s__eubacterium_ventriosum,,,m__hmdb00043,s__eubacterium_rectale,,1,0.1,0.33,0.033,FALSE,FALSE,FALSE,TRUE
s__bacteroides_xylanisolvens,,,m__hmdb00043,s__akkermansia_muciniphila,,0.25,1,0.11,0.0275,FALSE,FALSE,FALSE,TRUE
s__klebsiella_pneumoniae,,,m__hmdb00030,s__haemophilus_parainfluenzae,,0.1,0.17,1,0.017,FALSE,FALSE,FALSE,TRUE
s__klebsiella_pneumoniae,s__akkermansia_muciniphila,,,s__akkermansia_muciniphila,1,,1,1,1,TRUE,FALSE,FALSE,FALSE
s__klebsiella_pneumoniae,s__bacteroides_cellulosilyticus,,,s__bacteroides_cellulosilyticus,1,,1,1,1,TRUE,FALSE,FALSE,FALSE
s__akkermansia_muciniphila,s__bacteroides_faecis,,,s__bacteroides_faecis,1,,1,1,1,TRUE,FALSE,FALSE,FALSE
s__bacteroides_cellulosilyticus,s__bacteroides_faecis,,,s__bacteroides_faecis,1,,1,1,1,TRUE,FALSE,FALSE,FALSE
s__clostridium_clostridioforme,s__bacteroides_finegoldii,,,s__bacteroides_finegoldii,1,,1,1,1,TRUE,FALSE,FALSE,FALSE
s__ruminococcus_torques,s__ruminococcus_torques,,,s__clostridium_bolteae,1,,1,1,1,TRUE,FALSE,FALSE,FALSE
s__streptococcus_parasanguinis,s__klebsiella_pneumoniae,,,s__klebsiella_pneumoniae,1,,1,1,1,TRUE,FALSE,FALSE,FALSE
s__escherichia_coli,s__escherichia_coli,,,s__roseburia_inulinivorans,1,,1,1,1,TRUE,FALSE,FALSE,FALSE
s__clostridium_bolteae,s__clostridium_bolteae,,,s__odoribacter_splanchnicus,1,,0.99,1,0.99,TRUE,FALSE,FALSE,FALSE
s__bacteroides_cellulosilyticus,s__bacteroides_cellulosilyticus,,,s__eubacterium_siraeum,1,,0.96,0.96,0.9216,TRUE,FALSE,FALSE,FALSE
s__clostridium_bolteae,s__clostridium_bolteae,,,s__odoribacter_splanchnicus,1,,0.99,0.85,0.8415,TRUE,FALSE,FALSE,FALSE
s__klebsiella_pneumoniae,s__bacteroides_cellulosilyticus,,,s__bacteroides_cellulosilyticus,1,,1,0.75,0.75,TRUE,FALSE,FALSE,FALSE
s__eubacterium_siraeum,s__bacteroides_caccae,,,s__bacteroides_caccae,0.84,,1,0.86,0.7224,TRUE,FALSE,FALSE,FALSE
s__bacteroides_cellulosilyticus,s__bacteroides_cellulosilyticus,,,s__eubacterium_siraeum,1,,0.96,0.72,0.6912,TRUE,FALSE,FALSE,FALSE
s__clostridium_clostridioforme,s__clostridium_clostridioforme,,,s__bacteroides_ovatus,1,,0.69,1,0.69,TRUE,FALSE,FALSE,FALSE
s__haemophilus_parainfluenzae,s__bifidobacterium_longum,,,s__bifidobacterium_longum,0.64,,1,1,0.64,TRUE,FALSE,FALSE,FALSE
s__eubacterium_siraeum,s__bacteroides_caccae,,,s__bacteroides_caccae,0.84,,1,0.75,0.63,TRUE,FALSE,FALSE,FALSE
s__roseburia_inulinivorans,s__c2likevirus_unclassified,,,s__faecalibacterium_prausnitzii,0.63,,1,1,0.63,TRUE,FALSE,FALSE,FALSE
s__clostridium_clostridioforme,s__eubacterium_eligens,,,s__bacteroides_stercoris,1,,0.8,0.73,0.584,TRUE,FALSE,FALSE,FALSE
s__bacteroides_xylanisolvens,s__prevotella_copri,,,s__bacteroides_xylanisolvens,0.57,,1,1,0.57,TRUE,FALSE,FALSE,FALSE
s__bacteroides_caccae,s__bacteroides_uniformis,,,s__bacteroides_uniformis,0.57,,1,0.98,0.5586,TRUE,FALSE,FALSE,FALSE
s__clostridium_clostridioforme,s__eubacterium_eligens,,,s__bacteroides_stercoris,1,,0.8,0.69,0.552,TRUE,FALSE,FALSE,FALSE
s__roseburia_inulinivorans,s__clostridiales_bacterium_1_7_47faa,,,s__roseburia_intestinalis,0.55,,0.97,1,0.5335,TRUE,FALSE,FALSE,FALSE
s__roseburia_inulinivorans,s__clostridiales_bacterium_1_7_47faa,,,s__roseburia_intestinalis,0.55,,0.97,0.96,0.51216,TRUE,FALSE,FALSE,FALSE
s__bacteroides_ovatus,s__bacteroides_dorei,,,s__bacteroides_ovatus,0.99,,0.31,1,0.3069,TRUE,FALSE,FALSE,FALSE
s__bacteroides_cellulosilyticus,s__clostridium_clostridioforme,,,s__clostridium_clostridioforme,0.22,,1,0.92,0.2024,TRUE,FALSE,FALSE,FALSE
s__bacteroides_faecis,s__bacteroides_faecis,,,s__alistipes_shahii,1,,0.22,0.84,0.1848,TRUE,FALSE,FALSE,FALSE
s__bacteroides_cellulosilyticus,s__clostridium_clostridioforme,,,s__clostridium_clostridioforme,0.22,,1,0.74,0.1628,TRUE,FALSE,FALSE,FALSE
s__escherichia_coli,s__escherichia_coli,,,s__eubacterium_ventriosum,1,,0.15,1,0.15,TRUE,FALSE,FALSE,FALSE
s__clostridium_clostridioforme,s__eubacterium_eligens,,,s__streptococcus_parasanguinis,1,,0.68,0.18,0.1224,TRUE,FALSE,FALSE,FALSE
s__eubacterium_siraeum,s__ruminococcus_lactaris,,,s__eubacterium_siraeum,1,,0.1,1,0.1,TRUE,FALSE,FALSE,FALSE
s__eubacterium_siraeum,s__bacteroides_cellulosilyticus,,,s__bacteroides_cellulosilyticus,0.25,,1,0.25,0.0625,TRUE,FALSE,FALSE,FALSE
s__bacteroides_faecis,s__bacteroides_faecis,,,s__alistipes_shahii,1,,0.22,0.28,0.0616,TRUE,FALSE,FALSE,FALSE
s__eubacterium_rectale,s__eubacterium_rectale,,,s__eubacterium_siraeum,1,,0.18,0.28,0.0504,TRUE,FALSE,FALSE,FALSE
s__bacteroides_ovatus,s__bacteroides_ovatus,,,s__bacteroides_caccae,1,,0.17,0.25,0.0425,TRUE,FALSE,FALSE,FALSE
s__bacteroides_faecis,s__bacteroides_faecis,,,s__odoribacter_splanchnicus,1,,0.16,0.15,0.024,TRUE,FALSE,FALSE,FALSE
