NetworkName,T,Tx,G,M,Ti,T->(G|Tx)_Bs,(T|G)->M_Bs,(M|G|Tx)->Ti_Bs,T->Ti_Bs,overallScore,ChainInTTxTi,ChainInTGMTi,ChainInTGTi,ChainInTMTi,NetworksThisUnrollingWasFoundIn
Tigramite_filtered_ibd_t_g_m_noalignment_sr7d_bs0.1_a0.0001_ptreshold0.05_T1_test_ParCorr,s__clostridium_bolteae,,g__3-hydroxybutyryl-coa dehydrogenase,m__hmdb00014,s__roseburia_inulinivorans,0.181818181818182,0.363636363636364,0.363636363636364,0.454545454545455,0.0109282152858412,FALSE,TRUE,TRUE,TRUE,13
Tigramite_filtered_ibd_t_g_m_noalignment_sr7d_bs0.1_a0.0001_ptreshold0.05_T1_test_ParCorr,s__bacteroides_fragilis,,g__3-hydroxybutyryl-coa dehydrogenase,m__hmdb00014,s__roseburia_inulinivorans,0.181818181818182,0.363636363636364,0.363636363636364,0.454545454545455,0.0109282152858412,FALSE,TRUE,TRUE,TRUE,8
Tigramite_filtered_ibd_t_g_m_noalignment_sr7d_bs0.1_a0.0001_ptreshold0.05_T1_test_ParCorr,s__klebsiella_pneumoniae,,g__3-hydroxybutyryl-coa dehydrogenase,m__hmdb00030,s__alistipes_shahii,0.272727272727273,0.363636363636364,0.272727272727273,0.363636363636364,0.00983539375725706,FALSE,TRUE,TRUE,TRUE,6
Tigramite_filtered_ibd_t_g_m_noalignment_sr7d_bs0.1_a0.0001_ptreshold0.05_T1_test_ParCorr,s__alistipes_shahii,,g__2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,m__hmdb00020,s__faecalibacterium_prausnitzii,0.363636363636364,0.363636363636364,0.272727272727273,0.272727272727273,0.00983539375725706,FALSE,TRUE,TRUE,TRUE,20
Tigramite_filtered_ibd_t_g_m_noalignment_sr7d_bs0.1_a0.0001_ptreshold0.05_T1_test_ParCorr,s__klebsiella_pneumoniae,,g__3-hydroxybutyryl-coa dehydrogenase,m__hmdb00014,s__roseburia_inulinivorans,0.272727272727273,0.363636363636364,0.363636363636364,0.272727272727273,0.00983539375725706,FALSE,TRUE,TRUE,TRUE,8
Tigramite_filtered_ibd_t_g_m_alignment_sr7d_bs0.1_a0.0001_ptreshold0.05_T1_test_ParCorr,s__bacteroides_fragilis,,g__superoxide dismutase,m__hmdb00764,s__bacteroides_fragilis,0.181818181818182,0.363636363636364,0.181818181818182,0.818181818181818,0.00983539375725704,FALSE,TRUE,TRUE,TRUE,6
Tigramite_filtered_ibd_t_g_m_noalignment_sr7d_bs0.1_a0.0001_ptreshold0.05_T1_test_ParCorr,s__clostridium_clostridioforme,,g__3-methyl-2-oxobutanoate hydroxymethyltransferase,m__hmdb00030,s__clostridium_clostridioforme,0.181818181818182,0.363636363636364,0.272727272727273,0.545454545454545,0.00983539375725704,FALSE,TRUE,TRUE,TRUE,11
Tigramite_filtered_ibd_t_g_m_alignment_sr7d_bs0.1_a0.0001_ptreshold0.05_T1_test_ParCorr,s__roseburia_inulinivorans,,g__phosphopyruvate hydratase,m__hmdb00289,s__eubacterium_ventriosum,0.181818181818182,0.363636363636364,0.272727272727273,0.545454545454545,0.00983539375725704,FALSE,TRUE,TRUE,TRUE,11
Tigramite_filtered_ibd_t_g_m_alignment_sr7d_bs0.1_a0.0001_ptreshold0.05_T1_test_ParCorr,s__ruminococcus_torques,,g__2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,m__hmdb00289,s__haemophilus_parainfluenzae,0.181818181818182,0.363636363636364,0.272727272727273,0.545454545454545,0.00983539375725704,FALSE,TRUE,TRUE,TRUE,16
Tigramite_filtered_ibd_t_g_m_alignment_sr7d_bs0.1_a0.0001_ptreshold0.05_T1_test_ParCorr,s__clostridium_bolteae,,g__2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,m__hmdb00056,s__bacteroides_thetaiotaomicron,0.272727272727273,0.363636363636364,0.181818181818182,0.545454545454545,0.00983539375725704,FALSE,TRUE,TRUE,TRUE,7
Tigramite_filtered_ibd_t_g_m_alignment_sr7d_bs0.1_a0.0001_ptreshold0.05_T1_test_ParCorr,s__clostridium_clostridioforme,,g__2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,m__hmdb00289,s__bacteroides_stercoris,0.181818181818182,0.363636363636364,0.272727272727273,0.545454545454545,0.00983539375725704,FALSE,TRUE,TRUE,TRUE,16
Tigramite_filtered_ibd_t_g_m_noalignment_sr7d_bs0.1_a0.0001_ptreshold0.05_T1_test_ParCorr,s__clostridium_bolteae,,g__3-hydroxybutyryl-coa dehydrogenase,m__hmdb00239,s__ruminococcus_torques,0.181818181818182,0.545454545454545,0.272727272727273,0.363636363636364,0.00983539375725704,FALSE,TRUE,TRUE,TRUE,1
Tigramite_filtered_ibd_t_g_m_noalignment_sr7d_bs0.1_a0.0001_ptreshold0.05_T1_test_ParCorr,s__bacteroides_fragilis,,g__3-hydroxybutyryl-coa dehydrogenase,m__hmdb00239,s__ruminococcus_torques,0.181818181818182,0.545454545454545,0.272727272727273,0.363636363636364,0.00983539375725704,FALSE,TRUE,TRUE,TRUE,2
Tigramite_filtered_ibd_t_g_m_noalignment_sr7d_bs0.1_a0.0001_ptreshold0.05_T1_test_ParCorr,s__ruminococcus_torques,,g__2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,m__hmdb00030,s__eubacterium_siraeum,0.272727272727273,0.272727272727273,0.272727272727273,0.454545454545455,0.00922068164742849,FALSE,TRUE,TRUE,TRUE,7
Tigramite_filtered_ibd_t_g_m_noalignment_sr7d_bs0.1_a0.0001_ptreshold0.05_T1_test_ParCorr,s__roseburia_intestinalis,,g__acetyl-coa c-acetyltransferase,m__hmdb00030,s__clostridium_clostridioforme,0.272727272727273,0.272727272727273,0.272727272727273,0.454545454545455,0.00922068164742849,FALSE,TRUE,TRUE,TRUE,7
Tigramite_filtered_ibd_t_g_m_alignment_sr7d_bs0.1_a0.0001_ptreshold0.05_T1_test_ParCorr,s__bifidobacterium_longum,,g__2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,m__hmdb00764,s__bacteroides_xylanisolvens,0.272727272727273,0.272727272727273,0.272727272727273,0.454545454545455,0.00922068164742849,FALSE,TRUE,TRUE,TRUE,4
Tigramite_filtered_ibd_t_g_m_noalignment_sr7d_bs0.1_a0.0001_ptreshold0.05_T1_test_ParCorr,s__streptococcus_parasanguinis,,g__aldose 1-epimerase,m__hmdb00014,s__roseburia_inulinivorans,0.181818181818182,0.363636363636364,0.363636363636364,0.363636363636364,0.00874257222867294,FALSE,TRUE,TRUE,TRUE,13
Tigramite_filtered_ibd_t_g_m_noalignment_sr7d_bs0.1_a0.0001_ptreshold0.05_T1_test_ParCorr,s__eubacterium_rectale,,g__aldose 1-epimerase,m__hmdb00014,s__roseburia_inulinivorans,0.181818181818182,0.363636363636364,0.363636363636364,0.363636363636364,0.00874257222867294,FALSE,TRUE,TRUE,TRUE,11
Tigramite_filtered_ibd_t_g_m_alignment_sr7d_bs0.1_a0.0001_ptreshold0.05_T1_test_ParCorr,s__alistipes_shahii,,g__2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,m__hmdb00289,s__bifidobacterium_longum,0.181818181818182,0.363636363636364,0.363636363636364,0.363636363636364,0.00874257222867294,FALSE,TRUE,TRUE,TRUE,17
Tigramite_filtered_ibd_t_g_m_alignment_sr7d_bs0.1_a0.0001_ptreshold0.05_T1_test_ParCorr,s__streptococcus_parasanguinis,,g__superoxide dismutase,m__hmdb00289,s__haemophilus_parainfluenzae,0.272727272727273,0.181818181818182,0.272727272727273,0.636363636363636,0.00860596953759991,FALSE,TRUE,TRUE,TRUE,17
Tigramite_filtered_ibd_t_g_m_alignment_sr7d_bs0.1_a0.0001_ptreshold0.05_T1_test_ParCorr,s__roseburia_intestinalis,,g__phosphopyruvate hydratase,m__hmdb00289,s__haemophilus_parainfluenzae,0.181818181818182,0.363636363636364,0.272727272727273,0.454545454545455,0.00819616146438088,FALSE,TRUE,TRUE,TRUE,8
Tigramite_filtered_ibd_t_g_m_alignment_sr7d_bs0.1_a0.0001_ptreshold0.05_T1_test_ParCorr,s__streptococcus_parasanguinis,,g__superoxide dismutase,m__hmdb00209,s__eubacterium_rectale,0.272727272727273,0.363636363636364,0.181818181818182,0.454545454545455,0.00819616146438088,FALSE,TRUE,TRUE,TRUE,4
Tigramite_filtered_ibd_t_g_m_alignment_sr7d_bs0.1_a0.0001_ptreshold0.05_T1_test_ParCorr,s__bacteroides_thetaiotaomicron,,g__2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,m__hmdb00764,s__bacteroides_fragilis,0.454545454545455,0.272727272727273,0.181818181818182,0.363636363636364,0.00819616146438088,FALSE,TRUE,TRUE,TRUE,5
Tigramite_filtered_ibd_t_g_m_alignment_sr7d_bs0.1_a0.0001_ptreshold0.05_T1_test_ParCorr,s__bacteroides_thetaiotaomicron,,g__2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,m__hmdb00020,s__clostridium_clostridioforme,0.454545454545455,0.181818181818182,0.272727272727273,0.363636363636364,0.00819616146438088,FALSE,TRUE,TRUE,TRUE,12
Tigramite_filtered_ibd_t_g_m_noalignment_sr7d_bs0.1_a0.0001_ptreshold0.05_T1_test_ParCorr,s__eubacterium_rectale,,g__aldose 1-epimerase,m__hmdb01257,s__eubacterium_rectale,0.181818181818182,0.272727272727273,0.181818181818182,0.909090909090909,0.00819616146438087,FALSE,TRUE,TRUE,TRUE,2
Tigramite_filtered_ibd_t_g_m_noalignment_sr7d_bs0.1_a0.0001_ptreshold0.05_T1_test_ParCorr,s__haemophilus_parainfluenzae,,g__2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,m__hmdb00014,s__bacteroides_ovatus,0.181818181818182,0.363636363636364,0.181818181818182,0.636363636363636,0.00764975070008881,FALSE,TRUE,TRUE,TRUE,14
Tigramite_filtered_ibd_t_g_m_noalignment_sr7d_bs0.1_a0.0001_ptreshold0.05_T1_test_ParCorr,s__bacteroides_ovatus,,g__acetyl-coa c-acetyltransferase,m__hmdb00030,s__alistipes_shahii,0.272727272727273,0.272727272727273,0.272727272727273,0.363636363636364,0.00737654531794279,FALSE,TRUE,TRUE,TRUE,7
Tigramite_filtered_ibd_t_g_m_alignment_sr7d_bs0.1_a0.0001_ptreshold0.05_T1_test_ParCorr,s__bifidobacterium_longum,,g__2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,m__hmdb00764,s__bacteroides_xylanisolvens,0.272727272727273,0.272727272727273,0.272727272727273,0.363636363636364,0.00737654531794279,FALSE,TRUE,TRUE,TRUE,4
Tigramite_filtered_ibd_t_g_m_noalignment_sr7d_bs0.1_a0.0001_ptreshold0.05_T1_test_ParCorr,s__bifidobacterium_longum,,g__2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,m__hmdb00020,s__faecalibacterium_prausnitzii,0.272727272727273,0.363636363636364,0.272727272727273,0.272727272727273,0.00737654531794279,FALSE,TRUE,TRUE,TRUE,23
Tigramite_filtered_ibd_t_g_m_noalignment_sr7d_bs0.1_a0.0001_ptreshold0.05_T1_test_ParCorr,s__ruminococcus_torques,,g__2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,m__hmdb00020,s__faecalibacterium_prausnitzii,0.272727272727273,0.363636363636364,0.272727272727273,0.272727272727273,0.00737654531794279,FALSE,TRUE,TRUE,TRUE,17
Tigramite_filtered_ibd_t_g_m_alignment_sr7d_bs0.1_a0.0001_ptreshold0.05_T1_test_ParCorr,s__clostridium_bolteae,,g__2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,m__hmdb00289,s__haemophilus_parainfluenzae,0.272727272727273,0.363636363636364,0.272727272727273,0.272727272727273,0.00737654531794279,FALSE,TRUE,TRUE,TRUE,23
Tigramite_filtered_ibd_t_g_m_alignment_sr7d_bs0.1_a0.0001_ptreshold0.05_T1_test_ParCorr,s__streptococcus_parasanguinis,,g__superoxide dismutase,m__hmdb00030,s__akkermansia_muciniphila,0.272727272727273,0.363636363636364,0.272727272727273,0.272727272727273,0.00737654531794279,FALSE,TRUE,TRUE,TRUE,5
Tigramite_filtered_ibd_t_g_m_noalignment_sr7d_bs0.1_a0.0001_ptreshold0.05_T1_test_ParCorr,s__bacteroides_uniformis,,g__dihydrolipoyl dehydrogenase,m__hmdb00020,s__bacteroides_uniformis,0.181818181818182,0.272727272727273,0.181818181818182,0.818181818181818,0.00737654531794278,FALSE,TRUE,TRUE,TRUE,5
Tigramite_filtered_ibd_t_g_m_alignment_sr7d_bs0.1_a0.0001_ptreshold0.05_T1_test_ParCorr,s__bacteroides_xylanisolvens,,g__2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,m__hmdb00020,s__clostridium_clostridioforme,0.272727272727273,0.181818181818182,0.272727272727273,0.545454545454545,0.00737654531794278,FALSE,TRUE,TRUE,TRUE,24
Tigramite_filtered_ibd_t_g_m_alignment_sr7d_bs0.1_a0.0001_ptreshold0.05_T1_test_ParCorr,s__streptococcus_parasanguinis,,g__superoxide dismutase,m__hmdb02322,s__ruminococcus_torques,0.272727272727273,0.181818181818182,0.272727272727273,0.545454545454545,0.00737654531794278,FALSE,TRUE,TRUE,TRUE,2
Tigramite_filtered_ibd_t_g_m_alignment_sr7d_bs0.1_a0.0001_ptreshold0.05_T1_test_ParCorr,s__clostridium_clostridioforme,,g__2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,m__hmdb00764,s__bacteroides_xylanisolvens,0.181818181818182,0.272727272727273,0.272727272727273,0.545454545454545,0.00737654531794278,FALSE,TRUE,TRUE,TRUE,5
Tigramite_filtered_ibd_t_g_m_noalignment_sr7d_bs0.1_a0.0001_ptreshold0.05_T1_test_ParCorr,s__eubacterium_siraeum,,g__3-hydroxybutyryl-coa dehydrogenase,m__hmdb00239,s__ruminococcus_torques,0.181818181818182,0.545454545454545,0.272727272727273,0.272727272727273,0.00737654531794278,FALSE,TRUE,TRUE,TRUE,1
Tigramite_filtered_ibd_t_g_m_noalignment_sr7d_bs0.1_a0.0001_ptreshold0.05_T1_test_ParCorr,s__klebsiella_pneumoniae,,g__3-hydroxybutyryl-coa dehydrogenase,m__hmdb00239,s__ruminococcus_torques,0.272727272727273,0.545454545454545,0.272727272727273,0.181818181818182,0.00737654531794278,FALSE,TRUE,TRUE,TRUE,1
Tigramite_filtered_ibd_t_g_m_noalignment_sr7d_bs0.1_a0.0001_ptreshold0.05_T1_test_ParCorr,s__bacteroides_faecis,,g__3-hydroxybutyryl-coa dehydrogenase,m__hmdb00030,s__alistipes_shahii,0.181818181818182,0.363636363636364,0.272727272727273,0.363636363636364,0.0065569291715047,FALSE,TRUE,TRUE,TRUE,6
Tigramite_filtered_ibd_t_g_m_noalignment_sr7d_bs0.1_a0.0001_ptreshold0.05_T1_test_ParCorr,s__clostridium_bolteae,,g__3-hydroxybutyryl-coa dehydrogenase,m__hmdb00030,s__clostridium_clostridioforme,0.181818181818182,0.363636363636364,0.272727272727273,0.363636363636364,0.0065569291715047,FALSE,TRUE,TRUE,TRUE,9
